Código Institución,Nombre Institución,Número Identificación Tributaria - NIT,Principal/Seccional,Naturaleza Jurídica,Sector,Carácter Académico,Cod Departamento,Departamento Domicilio,Cod Municipio,Municipio Domicilio,Dirección Domicilio,Teléfono Domicilio,Norma de Creación,Fecha Norma de Creación,¿Acreditada Alta Calidad?,Fecha Acreditación,Resolución de la acreditación,Vigencia de la acreditación,Estado,Fecha Actualizacion,Página Web
1729,UNIVERSIDAD EL BOSQUE,860.066.789-6,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.","Av. Cra 9 No. 131 A - 02, Edificio Fundadores",6489000,Resolución 11153 MINISTERIO DE EDUCACION NACIONAL,1978-08-04,SI,2020-07-17,13172,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unbosque.edu.co
1730,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,Seccional,Fundación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Palmira,Km 1 V¿a Tienda Nueva Edif. Seminario Cristo Sacerdote Piso 2,2759370,Resolución 48 MINISTERIO DE GOBIERNO.,1937-02-28,SI,2018-10-24,17228,6,Activa en la Fecha de Actualizacion,2022-07-08,www.upb.edu.co
1731,UNIVERSIDAD CATOLICA DE COLOMBIA,860.028.971,Seccional,Fundación,Privado,Universidad,Cundinamarca,Cundinamarca,,Chía,Km. 21 Vía Carrera 7 La Caro,6766071,Resolución 2271 MINISTERIO DE JUSTICIA,1970-07-07,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucatolica.edu.co
1732,UNIVERSIDAD SANTO TOMAS,860.012.357-6,Seccional,Fundación,Privado,Universidad,Boyacá,Boyacá,,Tunja,Calle 19 No. 11 - 64 Centro,7440404,Resolución 3645 MINISTERIO DE JUSTICIA,1965-08-06,SI,2022-03-09,3036,6,Activa en la Fecha de Actualizacion,2022-07-08,www.ustatunja.edu.co
1733,UNIVERSIDAD SERGIO ARBOLEDA,860.351.894 -3,Seccional,Fundación,Privado,Universidad,Magdalena,Magdalena,,Santa Marta,"Calle 18 Carrera 15,  Esquina",4203838,Resolución 16377 MINISTERIO DE EDUCACION NACIONAL,1984-10-29,SI,2019-04-05,3659,6,Activa en la Fecha de Actualizacion,2022-07-08,www.usergioarboleda.edu.co/santamarta
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,891.801.101-6,Principal,Fundación,Privado,Universidad,Boyacá,Boyacá,,Tunja,Carrera 2a. Este No. 64-169,7450044,Resolución 6553 MINISTERIO DE EDUCACION NACIONAL,1981-05-25,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.uniboyaca.edu.co
1735,UNIVERSIDAD MANUELA BELTRAN-UMB-,860.517.647-5,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Avenida Circunvalar No. 60 - 00,5460600,Resolución 11110 MINISTERIO DE EDUCACION NACIONAL,1983-07-13,SI,2019-12-27,2710,4,Activa en la Fecha de Actualizacion,2022-07-08,www.umb.edu.co
1801,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 6 No. 13-40,3276999,Resolución 47 MINISTERIO DE JUSTICIA,1953-09-25,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ugc.edu.co
1802,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,Seccional,Corporación,Privado,Universidad,Quindío,Quindío,,Armenia,"Av. Bolivar,  Carrera 14 No. 7-46",7460400,Resolución 47 MINISTERIO DE JUSTICIA,1953-09-25,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ugcarmen.edu.co
1803,UNIVERSIDAD DE LA SALLE,860.015.542-6,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Cra.5  59A-44,3488000,Resolución 597 MINISTERIO DE JUSTICIA,1965-02-12,SI,2019-03-22,2955,8,Activa en la Fecha de Actualizacion,2022-07-08,www.lasalle.edu.co
1804,UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA,8901025729,Principal,Corporación,Privado,Universidad,Atlántico,Atlántico,,Barranquilla,Calle 90  46-112,3671000,Resolución 303 GOBERNACION DEPARTAMENTO DEL ATLANTICO,1967-04-03,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.uac.edu.co
1805,UNIVERSIDAD SANTIAGO DE CALI,890.303.797-1,Principal,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Carrera 62 Calle 5 Campus Pampalinda,5183000,Resolución 2800 MINISTERIO DE JUSTICIA,1959-09-02,SI,2021-09-27,18144,4,Activa en la Fecha de Actualizacion,2022-07-08,www.usc.edu.co
1806,UNIVERSIDAD LIBRE,860.013.798-5,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 8 No. 5-80,3821000,Resolución 192 MINISTERIO DE GOBIERNO.,1946-06-27,SI,2021-08-25,15865,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unilibre.edu.co
1807,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Diagonal 37A No. 3-29  Santa Isabel,5578128,Resolución 192 MINISTERIO DE GOBIERNO.,1946-06-27,SI,2021-08-25,15865,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unilibrecali.edu.co
1808,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Atlántico,Atlántico,,Barranquilla,Km. 7 antigua v¿a Puerto Colombia,3598915,Resolución 192 MINISTERIO DE GOBIERNO,1946-06-27,SI,2021-08-25,15865,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unilibrebaq.edu.co
1809,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Risaralda,Risaralda,,Pereira,Calle 40 Nº 7-30,3366019,Resolución 192 MINISTERIO DE GOBIERNO,1946-06-27,SI,2021-08-25,15865,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unilibrepereira.edu.co
1810,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Norte de Santander,Norte de Santander,,San José de Cúcuta,"Av. Canal Bogotá Margen Izquierdo, Intersección Benjamín Herrera",5790896,Resolución 192 MINISTERIO DE GOBIERNO.,1946-06-27,SI,2021-08-25,15865,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unilibrecucuta.edu.co
1811,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Santander,Santander,,Socorro,Campus Universitario Majavita,7296945,Resolución 192 MINISTERIO DE GOBIERNO,1946-06-27,SI,2021-08-25,15865,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unilibresoc.edu.co
1812,UNIVERSIDAD DE MEDELLIN,890.902.920-1,Principal,Corporación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Carrera 87 No. 30-65 Los Alpes,3405555,Resolución 103 MINISTERIO DE JUSTICIA,1950-07-31,SI,2021-04-30,7470,6,Activa en la Fecha de Actualizacion,2022-07-08,www.udem.edu.co
1813,UNIVERSIDAD DE LOS ANDES,860.007.386-1,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 1 No. 18A-70,3394949,Resolución 28 MINISTERIO DE JUSTICIA.,1949-02-23,SI,2015-01-09,582,10,Activa en la Fecha de Actualizacion,2022-07-08,www.uniandes.edu.co
1814,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,890905456-9,Principal,Corporación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Carrera 55A  49 - 51,5112199,Resolución 203 GOBIERNO DEPARTAMENTAL DE ANTIOQUIA,1968-10-30,SI,2022-05-16,8607,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unaula.edu.co
1815,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera  9  45A-44,3322900,Resolución 3681 MINISTERIO DE JUSTICIA.,1962-11-27,SI,2021-09-27,18115,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unipiloto.edu.co
1816,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Calle 50  41-70,2391100,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucc.edu.co
1817,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Santander,Santander,,Bucaramanga,Calle 30A  33-51,343825,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucc.edu.co
1818,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.","Av. Caracas  No. 44-21, Recibo Correspondencia: Av. Caracas No. 37-63",3323565,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucc.edu.co
1819,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Santander,Santander,,Barrancabermeja,Calle 57 entre carrerras 24 y 27 Barrio G,213277,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,ucc.edu.co
1820,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Magdalena,Magdalena,,Santa Marta,Troncal del Caribe Sector Mamatoco,4331715,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucc.edu.co
1822,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,Seccional,Corporación,Privado,Universidad,Cundinamarca,Cundinamarca,,Girardot,Cra. 19  17-33 Barrio Las Quintas,8332845,Resolución 3681 MINISTERIO DE JUSTICIA.,1962-11-27,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unipiloto.edu.co
1823,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,890.200.499-9,Principal,Corporación,Privado,Universidad,Santander,Santander,,Bucaramanga,Calle 48  39-234,6436111,Resolución 3284 MINISTERIO DE JUSTICIA,1956-12-21,SI,2017-05-25,10820,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unab.edu.co
1824,UNIVERSIDAD METROPOLITANA,890.105.361-5,Principal,Corporación,Privado,Universidad,Atlántico,Atlántico,,Barranquilla,Calle 76 No. 42-78,3587889,Resolución 1052 MINISTERIO DE JUSTICIA,1974-02-25,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unimetro.edu.co
1825,UNIVERSIDAD AUTONOMA DE MANIZALES,890.805.051-0,Principal,Corporación,Privado,Universidad,Caldas,Caldas,,Manizales,Antigua Estacion del Ferocarril,8727272,Resolución 1549 MINISTERIO DE EDUCACION NACIONAL,1981-02-25,SI,2019-09-06,9527,6,Activa en la Fecha de Actualizacion,2022-07-08,www.autonoma.edu.co
1826,UNIVERSIDAD ANTONIO NARIÑO,860.056.070-7,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 38  58 A 77,3152973,Resolución 4571 Ministerio de Educaci¿n Nacional,1977-05-24,SI,2019-04-22,4141,4,Activa en la Fecha de Actualizacion,2022-07-08,www.uan.edu.co
1827,UNIVERSIDAD CATOLICA DE MANIZALES,890806477-9,Principal,Corporación,Privado,Universidad,Caldas,Caldas,,Manizales,Carrera 23  60-63,8933050,Decreto 271 ARQUIDIOCESIS DE MANIZALES,1962-06-19,SI,2019-12-09,13600,4,Activa en la Fecha de Actualizacion,2022-07-08,www.ucm.edu.co
1828,UNIVERSIDAD ICESI,890.316.745-5,Principal,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Calle 18 No.122-135 (Pance),5552369,Resolución 11677 MINISTERIO DE EDUCACION NACIONAL,1979-07-12,SI,2021-12-10,23652,8,Activa en la Fecha de Actualizacion,2022-07-08,www.icesi.edu.co
1829,UNIVERSIDAD SANTIAGO DE CALI,8903037971,Seccional,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Palmira,Carrera 30 Calle 38 Esquina,2712617,Resolución 2800 MINISTERIO DE JUSTICIA,1959-09-02,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.usc.edu.co/palmira
1830,UNIVERSIDAD AUTONOMA DE OCCIDENTE,890.305.881-1,Principal,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Calle 25 115 - 85  Km. 2 Vía Jamundí,3188000,Resolución 618 GOBERNACION DEL VALLE,1970-02-20,SI,2021-11-30,23002,4,Activa en la Fecha de Actualizacion,2022-07-08,www.uao.edu.co
1831,UNIVERSIDAD DE IBAGUE,890.704.382-1,Principal,Corporación,Privado,Universidad,Tolima,Tolima,,Ibagué,"Barrio Ambala, Carrera 22 Calle 67",2760010,Resolución 1867 MINISTERIO DE EDUCACION NACIONAL,1981-02-27,SI,2019-10-03,10440,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unibague.edu.co
1832,UNIVERSIDAD TECNOLOGICA DE BOLIVAR,890.401.962,Principal,Corporación,Privado,Universidad,Bolívar,Bolívar,,Cartagena de Indias,"Campus de Ternera, Vía a Turbaco Km. 1",6535200,Resolución 961 GOBERNACION DEL DEPARTAMENTO DE BOLIVAR,1970-10-26,SI,2019-04-24,4182,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unitecnologica.edu.co
1833,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,Principal,Corporación,Privado,Universidad,Córdoba,Córdoba,,Montería,Carrera 1W Calle 38 Barrio Juan XXIII,7840340,Resolución 12154 MINISTERIO DE EDUCACION NACIONAL.,1977-10-27,SI,2019-06-13,6197,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unisinu.edu.co
1834,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,Seccional,Corporación,Privado,Universidad,Bolívar,Bolívar,,Cartagena de Indias,Calle 30 No. 20 -71,6562403,Resolución 12154 MINISTERIO DE EDUCACION NACIONAL.,1977-10-27,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unisinucartagena.edu.co
1835,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,860.403.721.2,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 222  54-37,6684700,Resolución 7392 MINISTERIO DE EDUCACION NACIONAL,1983-05-20,SI,2019-12-27,17390,4,Activa en la Fecha de Actualizacion,2022-07-08,www.udca.edu.co
2102,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,860.512.780-4,Principal,Nacional,Oficial,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 14 No 14-23 Sur,3443700,Ley 52 Congreso de Colombia,1981-07-07,SI,2021-12-29,25081,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unad.edu.co
2104,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,Principal,Nacional,Oficial,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 44 # 53 - 37 CAN,2202790,Ley 19 Congreso de la Republica,1958-12-18,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.esap.edu.co
2106,DIRECCION NACIONAL DE ESCUELAS,900373379-0,Principal,Nacional,Oficial,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Transversal 33 47A-35 Sur Barrio F¿tima,3159136,Ley 14 Congreso de Colombia,1919-09-08,SI,2022-03-01,2286,4,Activa en la Fecha de Actualizacion,2022-07-08,www.policia.edu.co
2110,COLEGIO MAYOR DE ANTIOQUIA,890.980.134-1,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Calle 65  77-126 Robledo,4225252,Ley 48 Congreso de Colombia,1945-12-17,SI,2020-07-17,13165,6,Activa en la Fecha de Actualizacion,2022-07-08,www.colmayor.edu.co
2111,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,Seccional,Nacional,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Calle 56 (Bolivia)  45-34,2543780,Ley 19 Congreso de la Republica.,1958-12-18,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.esap.edu.co
2114,ESCUELA NACIONAL DEL DEPORTE,805.001.868,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Valle del Cauca,Valle del Cauca,,Cali,Calle  9  34-01,566411,Decreto 3115 Gobierno Nacional.,1984-12-21,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.endeporte.edu.co
2206,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,890.325.989-3,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Valle del Cauca,Valle del Cauca,,Cali,Avenida 2a. Norte  7N-28,4883030,Ordenanza 8 Asamblea Departamental del Valle,1936-09-16,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.bellasartes.edu.co
2207,INSTITUTO UNIVERSITARIO DE LA PAZ,800.024.581-3,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Santander,Santander,,Barrancabermeja,"Centro de Investigaciones Santa Lucia, Kim. 14, via Bucaramanga,",6025185,No informa 331 Gobernacion de Santander,1987-11-19,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unipaz.edu.co
2208,CONSERVATORIO DEL TOLIMA,890.700.906-0,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Tolima,Tolima,,Ibagué,Calle 9  1-18,2613118,Ordenanza 42 Asamblea del Tolima.,1980-12-10,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.conservatoriodeltolima.edu.co
2209,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,890.980.136-6,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Carrera 48  7-151,3105133,Decreto 33 Gobierno Departamental de Antioquia,1964-01-27,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.politecnicojic.edu.co
2211,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,890.480.308-0,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Bolívar,Bolívar,,Cartagena de Indias,Carrera 9 No.39-12,6600391,Ordenanza 35 Asamblea Departamental de Bolivar.,1990-12-03,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unibac.edu.co
2301,UNIDAD CENTRAL DEL VALLE DEL CAUCA,891.900.853-0,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Valle del Cauca,Valle del Cauca,,Tuluá,Carrera 27 A No.48-144 Km.1 salida Sur Tulu¿,2242200,Acuerdo 24 Concejo Municipal de Tulua.,1971-06-30,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.uceva.edu.co
2302,INSTITUCION UNIVERSITARIA DE ENVIGADO,811.000.278-2,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Envigado,Cra. 27B N¿ 39 A sur 57,3391010,Acuerdo 44 Concejo Municipal de Envigado.,3916-01-28,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.iue.edu.co
2701,INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC,NO INFORMA,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 9  13-40 Piso 4,6683535,Resolución 1384 MINISTERIO DE EDUCACION NACIONAL.,1975-04-01,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.odontologico.edu.co
2702,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,860051853-4,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 19  8A-32,4375401,Resolución 10917 MINISTERIO DE EDUCACION NACIONAL.,1976-12-01,SI,2019-12-09,13601,4,Activa en la Fecha de Actualizacion,2022-07-08,www.fucsalud.edu.co
2704,COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-,860.045.740,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 35 No. 6-16,3395300,Resolución 5157 MINISTERIO DE EDUCACION NACIONAL.,1975-08-29,SI,2019-11-25,12334,4,Activa en la Fecha de Actualizacion,2022-07-08,www.cesa.edu.co
2707,FUNDACIÓN UNIVERSITARIA JUAN N. CORPAS,860.038.374-4,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 111 No. 159 A 61 (Av. Corpas Km. 3 Suba),6813085,Resolución 2105 MINISTERIO DE EDUCACION NACIONAL.,1974-03-29,SI,2021-09-27,18142,6,Activa en la Fecha de Actualizacion,2022-07-08,www.juancorpas.edu.co
2708,UNIVERSIDAD CES,890.984.002-6,Principal,Fundación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Calle 10A  22-04,4440555,Resolución 11154 MINISTERIO DE EDUCACION NACIONAL.,1978-08-04,SI,2019-12-09,13602,6,Activa en la Fecha de Actualizacion,2022-07-08,www.ces.edu.co
2709,FUNDACION UNIVERSITARIA SAN MARTIN,860.503.634-9,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 18 No. 80-45,5301001,Resolución 12387 MINISTERIO DE EDUCACION NACIONAL.,1981-08-18,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.sanmartin.edu.co
2710,FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE,860.513.077-9,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 72  11-41,2494959,Resolución 1381 MINISTERIO DE EDUCACION NACIONAL.,1983-02-03,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unimonserrate.edu.co
2711,UNIVERSIDAD CATOLICA DE PEREIRA,891.408.261-1,Principal,Fundación,Privado,Universidad,Risaralda,Risaralda,,Pereira,Avenida de las Am¿ricas Cra. 21  49-95,3124000,Resolución 10918 MINISTERIO DE EDUCACION NACIONAL.,1976-12-01,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucp.edu.co
2712,FUNDACION UNIVERSITARIA KONRAD LORENZ,860.504.759-5,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 9 Bis  62-43,3472311,Resolución 18537 MINISTERIO DE EDUCACION NACIONAL.,1981-11-04,SI,2022-04-08,5311,8,Activa en la Fecha de Actualizacion,2022-07-08,www.konradlorenz.edu.co
2713,FUNDACION UNIVERSITARIA LOS LIBERTADORES,NO INFORMA,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 16  63A-68,2544750,Resolución 7542 MINISTERIO DE EDUCACION NACIONAL,1982-05-18,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,No disponible
2715,FUNDACION UNIVERSITARIA DE POPAYAN,891.501.835-6,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Cauca,Cauca,,Popayán,Los Robles Km.. 8 vía al Sur,8238025,Resolución 10161 MINISTERIO DE EDUCACION NACIONAL.,1983-06-28,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.fup.edu.co
2719,UNIVERSIDAD CATÓLICA LUIS AMIGÓ,890.985.189-9,Principal,Fundación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Transversal  51A  67B - 90,4487666,Resolución 17701 MINISTERIO DE EDUCACION NACIONAL.,1984-11-09,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucatolicaluisamigo.edu.co
2720,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS,800057330 -3,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Boyacá,Boyacá,,Tunja,Carrera 11 11-16,7470333,Resolución 2085 MINISTERIO DE EDUCACION NACIONAL,1987-03-24,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.jdc.edu.co
2721,FUNDACION UNIVERSITARIA MARIA CANO,800.036.781-1,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Calle 56  41-90,4025500,Resolución 17996 MINISTERIO DE EDUCACION NACIONAL,1987-11-17,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.fumc.edu.co
2722,FUNDACION CENTRO UNIVERSITARIO DE BIENESTAR RURAL,800053190-0,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Cauca,Cauca,,Puerto Tejada,Vereda Periconegro,NA,Resolución 9111 MINISTERIO DE EDUCACION NACIONAL,1988-07-11,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.cubr.edu.co
2723,FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-,860531081-5,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 170 No. 54 A -10,6671515,Resolución 2599 MINISTERIO DE EDUCACION NACIONAL.,1986-03-13,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.uniagraria.edu.co
2724,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -,800.152.840-4,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Santander,Santander,,San Gil,Km. 2  via San Gil - Charal¿,7245757,Resolución 10989 MINISTERIO DE EDUCACION NACIONAL,1991-10-18,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unisangil.edu.co
2725,POLITECNICO GRANCOLOMBIANO,860.078.643-1,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 57  3-00 Este,7455555,Resolución 19349 MINISTERIO DE EDUCACION NACIONAL,1980-11-04,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.poli.edu.co
